 36, 36
 27, 26,  6, 18, 11, 23,  7, 12, 33,  8, 25, 28, 22, 13,  2, 32, 19, 24, 30,  1, 17, 31, 10, 35, 21,  3, 29,  5, 15, 14,  4, 34, 16,  9, 20, 36
 14, 15, 36, 17, 35, 31, 16, 21, 10, 26, 19,  5, 12, 11,  3, 30, 29, 34,  4, 24, 28,  8, 22, 23, 13,  6,  1,  9, 20, 18, 32, 27, 33,  2, 25,  7
  8,  1,  3,  4, 28,  9, 22, 32,  6, 35, 27, 11, 15, 25, 31, 26, 21, 14,  5, 20, 34, 36, 18, 16,  7, 23, 19, 33, 24,  2, 30, 12, 17, 10, 29, 13
 16, 13, 33, 32, 29,  5, 23,  4, 15, 36, 20, 30,  1, 18, 27, 10,  9,  7, 19,  6, 11, 21, 14,  2, 25,  8, 26, 17, 34, 12, 24, 28,  3, 35, 22, 31
 20, 24, 21, 30,  2, 19, 17, 29, 18,  3,  9, 34, 23, 35,  5, 33, 16, 36, 15,  7, 13, 25, 32, 12, 28, 31,  4, 10, 22, 27,  8, 11, 26, 14,  6,  1
  2, 21, 20, 13, 14, 15,  8,  5, 22, 12, 16,  3,  4, 28, 10, 24, 25, 35,  1, 17, 23, 19, 33, 27,  9, 32, 11, 18, 36, 29,  7, 30, 31,  6, 26, 34
 31, 16, 25, 26,  3, 22,  4, 28, 17,  9, 29, 15, 33, 23, 19,  6,  7, 21, 36, 32, 18,  5, 12, 13, 24,  2, 20,  8, 30, 34, 14, 10, 27,  1, 11, 35
 28,  5, 10, 35,  8, 30, 25,  6, 21, 31, 33, 26,  3, 34, 32, 17, 14, 27, 16, 22,  2, 11, 20,  9, 19, 15,  7,  1, 12, 13, 29,  4, 18, 36, 23, 24
 34,  7, 12, 24,  1, 36, 27, 13,  2, 32, 10, 19,  9,  5, 29, 18, 11, 16, 21, 28,  6, 26, 30, 25, 35, 22, 23,  4, 14, 31,  3, 20,  8, 17, 33, 15
 11,  6, 18, 29, 27, 32, 35, 23,  7, 30, 14, 24, 36,  2, 15, 22, 20,  1,  3,  8,  4, 10, 31, 34, 16, 21, 33, 26, 28, 17,  5,  9, 19, 12, 13, 25
  4, 17, 19,  9, 23, 33, 36, 34, 20, 11, 18,  1, 13,  8, 26, 12, 31, 30, 14, 15, 35, 29,  7, 24, 27,  5, 25,  6, 10,  3, 28, 22, 32, 21,  2, 16
 30,  4, 24, 14, 16,  3,  9, 25, 26, 34, 17, 35, 27,  1,  8, 31, 12,  6, 33, 10,  5, 22, 11, 36, 29, 13, 32,  2, 18, 28, 15, 19, 20, 23,  7, 21
 17, 18,  1, 22, 34, 11, 29, 16, 24,  2,  5,  6, 28, 21,  4, 36, 30, 33, 35, 26, 15, 23,  8,  7, 20, 14, 12, 19,  3, 25,  9, 13, 10, 32, 31, 27
 23, 12, 13, 15,  5,  6,  1, 14,  3,  4,  8, 10, 18, 32, 24, 20, 22, 26, 25, 21, 19, 17,  2, 28, 34, 27, 31,  7,  9, 16, 11, 36, 35, 29, 30, 33
 33, 36, 28, 20, 26,  8, 21, 19, 12, 18, 11, 22, 29, 17,  9,  7, 15, 13, 32, 31, 27,  6,  4, 14,  1, 30, 24, 23, 35, 10,  2, 25, 34, 16,  5,  3
 21, 25,  7, 31, 19, 29, 20, 27, 30, 15, 13, 32, 11, 10, 34,  2, 35, 23,  9,  3, 12, 16, 24, 18,  8, 33,  5, 36, 17,  6,  1, 26,  4, 22, 28, 14
 10, 32, 35,  2,  9, 27, 31, 33, 36,  7, 28, 23, 25, 16, 14, 19,  5,  3, 34, 13, 30,  1, 29, 20,  4, 26, 21, 15, 11, 22, 17,  6, 12, 18, 24,  8
